Date,Asset_A,Asset_B,Asset_C,Asset_D,Asset_E,Asset_F
01-01-2021,97.63167288,151.8349464,81.35421112,203.7454175,119.9027614,61.44919365
04-01-2021,98.12124347,151.8883381,79.74904632,204.2634599,121.7961801,61.31356796
05-01-2021,96.64198909,151.6127055,81.66461811,,125.3708237,59.73749316
06-01-2021,95.9757667,150.8435026,80.79724896,203.2153666,126.8892072,60.55654618
07-01-2021,96.29814095,150.9298007,81.09493792,204.8054728,127.9037113,58.96643199
08-01-2021,97.58213038,153.0045577,80.97951199,206.566797,128.3877303,59.16414825
11-01-2021,96.35624022,151.2990767,79.97720893,203.70222,129.7412529,60.05929335
12-01-2021,93.07330652,151.6671396,78.34663068,201.7801133,129.1368155,60.3994621
13-01-2021,93.3998042,149.2435789,76.35993862,199.8929773,128.7042669,62.51185151
14-01-2021,97.17816007,147.1375141,76.55735014,198.9715269,129.6777049,60.71845307
18-01-2021,96.96021926,147.1869398,74.86698021,200.7391477,128.8597015,60.69156025
19-01-2021,97.1060214,142.9770445,73.65359355,201.7915773,128.2557367,60.75600449
20-01-2021,99.77958849,147.5106149,73.47162953,203.0887449,128.3587004,59.57967454
21-01-2021,100.7428725,144.9887882,70.62224343,207.3760066,130.6767447,58.59625292
22-01-2021,101.1511749,145.0175935,71.50394065,209.6847992,128.5610939,57.90030938
25-01-2021,101.9029051,147.6747894,68.97639629,209.4065424,130.1279551,56.99158085
26-01-2021,102.3669362,145.8814888,68.95152438,205.8553681,131.7775802,
27-01-2021,100.6987322,140.959381,69.02221957,203.8136523,,56.475372
28-01-2021,98.75306382,140.1313593,69.63451056,203.1766172,131.9282987,56.78986221
29-01-2021,101.6270171,138.4046179,69.64668184,205.8660554,128.6841522,57.3885101
01-02-2021,101.9886315,133.7894325,71.81050809,205.9463475,129.8674683,57.93523232
02-02-2021,102.2233514,134.4681929,72.10096388,204.0839872,130.3366901,57.62516912
03-02-2021,102.1667794,134.9934805,73.29814169,202.0036788,132.4045663,57.9171636
04-02-2021,103.4455089,137.4145746,72.56135301,201.954456,131.1191758,58.86277329
05-02-2021,107.4675082,135.2142464,72.75083625,204.8120739,132.7190626,59.30327101
08-02-2021,108.3981006,132.0790272,74.4978422,209.863823,134.9243466,61.0043655
09-02-2021,107.5286066,131.3788966,74.29182387,209.3839633,134.8393921,61.95192708
10-02-2021,107.3994634,131.3099043,74.56547939,209.4109429,135.7905414,63.59836807
12-02-2021,109.2107496,133.2296872,75.72219889,205.7652815,136.6771853,61.27161243
15-02-2021,108.3433969,136.1552139,74.93972788,211.9151712,135.1023849,61.40948224
16-02-2021,109.8151008,138.7445031,72.56987852,207.631297,136.2867531,61.16022192
17-02-2021,106.0801727,139.4310324,72.90613865,211.4465086,139.712658,
18-02-2021,105.7992519,141.2147023,74.04566434,210.4569306,,60.40569006
19-02-2021,106.8807425,139.9709678,,208.7331836,,60.81300508
22-02-2021,109.0025265,140.4365011,73.39186185,205.4247515,135.6158744,59.21208165
23-02-2021,107.7514921,138.039341,74.19583269,213.015346,132.1045839,59.61777636
24-02-2021,105.4088157,138.2795682,71.72493014,213.893475,,58.97535498
25-02-2021,105.080886,138.5740623,70.77498153,214.132866,136.4194651,58.57987856
26-02-2021,103.3910503,142.2645569,70.4113799,217.1523504,135.5026528,59.01205316
01-03-2021,103.2426273,141.8897264,70.2779954,215.2061244,132.7287917,59.12899534
03-03-2021,103.3149176,142.1948805,69.550828,215.3842482,131.1759412,60.1110578
04-03-2021,101.3532591,142.8140569,68.77498558,215.7385649,130.0249832,59.28497843
05-03-2021,,141.9539871,70.55434875,214.2538119,130.342389,59.26063692
08-03-2021,102.4973681,140.3587946,70.49696076,218.2806204,130.5947828,60.09808435
09-03-2021,104.2405304,143.2055756,69.81838134,217.7393246,133.3270188,60.471774
10-03-2021,101.4392143,141.2130473,69.83112026,212.8408472,132.0482364,60.90619802
11-03-2021,99.97261805,138.5132274,70.44956997,212.0485556,129.1665718,61.96722314
12-03-2021,100.8273879,140.0374243,70.56048547,213.0107641,127.0282609,61.63919117
15-03-2021,99.69946634,142.5815153,70.39919028,210.3263176,127.0860114,61.11818818
16-03-2021,99.53316415,141.7301404,69.76909992,207.9246178,125.7986083,61.69505627
17-03-2021,99.61383446,140.9164957,69.1319711,206.3872469,125.3482332,61.60612455
18-03-2021,99.9299928,141.6264546,68.5673616,210.3330687,124.5948272,62.69242864
19-03-2021,98.994299,140.2359958,68.97068984,208.9643535,126.5451819,63.09031251
22-03-2021,99.29517222,138.7038211,67.99732709,213.6110427,125.5322528,62.55087392
23-03-2021,98.20906618,140.6448269,68.45284379,211.8115285,124.9221496,62.91840787
25-03-2021,99.28094026,142.0381905,69.9584587,213.0136038,126.3661564,62.11679621
26-03-2021,99.18933767,144.9453406,70.35621524,211.7581783,125.3963305,63.04879209
29-03-2021,99.49935884,142.3379427,70.02246063,214.322834,126.2926867,61.77789964
30-03-2021,103.4145494,141.3790209,68.71500802,,127.0216833,62.95977135
31-03-2021,101.7799204,142.0884175,70.39657435,213.4179636,127.3934107,63.31317384
01-04-2021,103.9812913,140.2292882,69.21741309,213.9532246,125.3276061,63.20754122
02-04-2021,99.91663448,141.6912223,70.15381606,212.0704625,127.7397381,63.98183438
05-04-2021,96.88160178,144.4073589,70.88185608,211.7113589,132.0969734,64.52375409
06-04-2021,95.15617909,143.259267,70.68682259,216.7517457,132.2201435,65.86299141
07-04-2021,93.55156754,143.4568042,70.46453501,217.3733176,130.2506818,67.22081797
08-04-2021,93.91225813,146.7038457,68.58061852,215.2559015,130.411742,67.6298134
09-04-2021,94.39568406,150.7806097,68.97502394,211.5383461,132.4524122,66.79955192
12-04-2021,94.11039018,152.5880197,69.67159546,213.3112626,131.3361277,66.31040318
14-04-2021,93.97410239,154.0683428,68.5891635,214.1085515,131.1872599,66.2921875
15-04-2021,94.79322496,152.2185909,68.48371986,216.5119865,131.9625519,67.42086671
16-04-2021,96.05381922,153.160541,68.57740071,211.9363583,134.4494809,67.01325384
19-04-2021,94.21937519,154.5623142,69.2335897,,136.1208703,66.69198508
20-04-2021,93.78329358,154.1982346,69.29292608,212.1307288,137.8976587,68.59439125
21-04-2021,93.76042477,152.9458914,67.65797402,213.3547496,137.1262552,68.54195237
22-04-2021,94.51798462,150.1287099,67.17428266,215.2324875,138.0626609,67.94419949
23-04-2021,93.49813489,146.335566,67.45435823,212.2966506,,68.79008374
26-04-2021,93.4478032,142.1769649,68.35979303,209.3425835,138.5207825,68.78719358
27-04-2021,93.56459001,143.5264573,67.7811582,212.6227473,141.0236168,67.40842393
28-04-2021,92.65073984,143.9592598,70.05960476,216.1045861,142.3069957,68.51484634
29-04-2021,91.71267637,143.0296909,68.12476193,212.7496073,141.6365649,67.80190895
30-04-2021,91.9218901,142.4329932,67.60323264,208.8370234,141.317046,67.90047828
03-05-2021,91.81570403,142.9966089,67.57311512,208.6639195,145.2594726,67.88539848
04-05-2021,92.57843203,142.7580267,67.42369492,206.328923,144.61152,68.17401445
05-05-2021,91.18985916,140.0016123,66.23150005,203.9555929,147.004828,65.98793893
06-05-2021,,142.0309361,66.72942358,200.2903735,147.8697124,65.70904142
07-05-2021,90.5436243,142.7924907,67.1542505,199.043264,147.2468782,66.87028813
10-05-2021,91.72141202,143.4762493,67.25628612,195.7549854,144.3947451,68.19309496
11-05-2021,90.50094796,145.3935856,67.64486994,192.6951366,144.9685707,67.23366205
12-05-2021,90.89189215,143.7354183,67.26899133,193.7117726,145.282647,
13-05-2021,91.30920706,146.4672495,65.69083091,193.7063538,149.3357452,67.49132557
14-05-2021,93.63722283,,65.03723355,195.2701801,147.528351,67.16615345
17-05-2021,92.29761684,148.3434897,65.24247927,190.5962904,152.7245251,66.8954896
18-05-2021,91.4615389,150.0964255,65.45394099,190.7770155,153.7145096,67.05818316
20-05-2021,90.24872823,147.877696,65.54693047,196.8693962,154.7086487,68.11907693
24-05-2021,88.06049551,149.1115144,66.13886016,195.9275558,153.4561148,68.44392101
25-05-2021,90.461932,149.9605733,65.61522619,198.5081637,154.3032838,68.36918186
26-05-2021,88.84967254,150.1487251,65.69397862,201.0967305,155.5216261,69.41589137
27-05-2021,87.83282526,150.0562971,66.31027957,203.8674371,157.8326634,68.63566225
28-05-2021,,149.9830098,66.27889178,204.5401844,,68.61107272
31-05-2021,87.35117472,151.9313403,65.09582291,206.4406265,159.0516046,69.69078585
01-06-2021,88.41207863,153.3699261,64.20906642,208.7703512,160.0411016,70.29985497
02-06-2021,86.608882,153.5627401,65.06065745,210.9273018,161.6292589,69.86437832
03-06-2021,88.29779167,150.2490033,66.47163329,207.5606336,161.2229012,68.33474307
04-06-2021,85.49449878,151.4835469,67.69665542,202.4108951,159.1073118,68.70804708
07-06-2021,,153.2489671,67.98655546,197.8558902,159.408163,
08-06-2021,82.6998694,158.6595984,66.81399209,197.2123838,159.9835361,66.9757096
09-06-2021,83.97157344,161.3459427,66.86107769,199.1270993,156.7868372,68.21370375
10-06-2021,83.9997565,156.8786534,68.48137747,195.9876278,158.7779174,68.87888147
11-06-2021,83.64395654,157.1887148,69.17148662,198.8607195,161.2783313,66.84317924
14-06-2021,85.39969865,161.5853815,69.01155088,197.5215661,159.6421675,67.09763602
15-06-2021,88.22887052,163.2259955,69.71749615,196.2196366,157.3211652,66.83008093
16-06-2021,89.18914113,164.1612449,68.44578432,193.9157032,156.7320885,65.60670544
17-06-2021,88.42721457,166.5093138,67.78630435,188.5884906,156.9136511,65.98888546
18-06-2021,87.94332798,165.0880447,66.73813348,189.3880515,156.4174015,65.55493808
21-06-2021,86.31402739,166.4040193,67.26159919,194.404944,156.3996063,65.12994472
22-06-2021,86.51360798,165.9119592,68.03588462,194.3777335,157.0443113,65.30323445
23-06-2021,84.46808933,165.9958522,67.93332798,189.1374119,153.946764,64.74239277
24-06-2021,85.23488683,168.1914491,67.09815937,191.5026022,151.1758093,64.88715919
25-06-2021,87.86724789,165.9880239,67.13196098,186.9885086,145.1236118,64.36158142
28-06-2021,88.88333365,169.3276593,66.69569061,183.7469663,147.2914942,63.89322722
29-06-2021,88.32894912,168.3892151,65.95252984,183.2370552,147.4429696,
01-07-2021,89.09776969,169.1823186,66.34065423,183.7212869,149.8783982,66.01347745
02-07-2021,91.33483664,165.7635467,65.63944126,181.0885682,147.4404657,64.3743751
05-07-2021,93.55951758,,64.14973799,180.4801575,,65.14725982
06-07-2021,92.22569863,171.4585249,62.90768891,182.560631,148.2061533,66.5660932
07-07-2021,93.00541581,170.2720965,61.4451539,185.0402942,147.0758239,68.17437343
08-07-2021,92.85925572,167.5727133,61.72243615,188.6618744,143.7664094,68.76106135
09-07-2021,,168.4055071,61.91106494,194.2163214,147.6463873,67.72545322
12-07-2021,94.67350736,172.2152033,62.05394339,196.7311004,150.8634914,68.41961965
13-07-2021,91.38399861,168.6076654,62.65065254,196.248903,150.1198877,67.58224661
14-07-2021,90.9800634,165.9445709,63.82092807,198.935493,151.3889133,67.28863706
15-07-2021,91.32382023,164.9467722,63.30499981,200.4873378,150.4091454,67.72912412
